,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G,Classe
885,Acre,398,Sim,Sim,Não,Não,baixa
888,Acre,485,Sim,Não,Sim,Sim,baixa
893,Acre,1708,Sim,Não,Sim,Sim,média
894,Acre,558,Sim,Não,Sim,Sim,média_baixa
897,Acre,1750,Sim,Não,Sim,Sim,média
901,Acre,4800,Sim,Não,Sim,Não,alta
904,Acre,2600,Sim,Sim,Sim,Sim,média
909,Acre,286,Sim,Não,Sim,Sim,baixa
910,Acre,2033,Sim,Sim,Sim,Sim,média
911,Acre,758,Sim,Não,Sim,Sim,média_baixa
912,Acre,500,Sim,Sim,Sim,Sim,baixa
914,Acre,556,Sim,Sim,Sim,Não,média_baixa
931,Acre,1300,Sim,Sim,Sim,Não,média_baixa
933,Acre,856,Sim,Sim,Sim,Não,média_baixa
936,Acre,366,Sim,Não,Sim,Sim,baixa
938,Acre,1250,Sim,Não,Sim,Sim,média_baixa
939,Acre,45000,Sim,Não,Sim,Não,alta
940,Acre,240,Sim,Não,Sim,Sim,baixa
951,Acre,3700,Sim,Sim,Não,Não,alta
952,Acre,1750,Sim,Sim,Sim,Não,média
953,Acre,1472,Sim,Sim,Sim,Não,média_baixa
986,Acre,1333,Sim,Sim,Não,Não,média_baixa
989,Acre,778,Sim,Não,Sim,Não,média_baixa
990,Acre,700,Sim,Sim,Sim,Sim,média_baixa
991,Acre,1666,Sim,Não,Sim,Sim,média
992,Acre,1200,Sim,Não,Sim,Sim,média_baixa
993,Acre,3000,Sim,Sim,Sim,Sim,média
997,Acre,1894,Sim,Sim,Sim,Sim,média
998,Acre,300,Sim,Sim,Não,Não,baixa
999,Acre,800,Sim,Sim,Sim,Sim,média_baixa
1000,Acre,925,Sim,Sim,Sim,Sim,média_baixa
1002,Acre,1300,Sim,Sim,Sim,Sim,média_baixa
1004,Acre,660,Sim,Sim,Não,Sim,média_baixa
1005,Acre,1300,Sim,Sim,Sim,Não,média_baixa
1006,Acre,930,Sim,Sim,Sim,Não,média_baixa
1007,Acre,1866,Sim,Sim,Sim,Sim,média
1012,Acre,1250,Sim,Sim,Sim,Sim,média_baixa
1013,Acre,800,Sim,Não,Sim,Sim,média_baixa
1018,Acre,808,Sim,Sim,Sim,Sim,média_baixa
1019,Acre,625,Sim,Sim,Sim,Sim,média_baixa
1023,Acre,1500,Sim,Não,Sim,Sim,média_baixa
1024,Acre,920,Sim,Sim,Sim,Sim,média_baixa
1030,Acre,1447,Sim,Sim,Sim,Sim,média_baixa
1033,Acre,750,Sim,Sim,Sim,Sim,média_baixa
1034,Acre,437,Sim,Não,Sim,Sim,baixa
1038,Acre,825,Sim,Não,Sim,Sim,média_baixa
1047,Acre,3191,Sim,Não,Sim,Sim,alta
1053,Acre,400,Sim,Sim,Sim,Sim,baixa
1055,Acre,1600,Sim,Sim,Sim,Sim,média
1060,Acre,830,Sim,Sim,Sim,Sim,média_baixa
1061,Acre,828,Sim,Sim,Sim,Sim,média_baixa
1063,Acre,1175,Sim,Sim,Não,Não,média_baixa
1064,Acre,300,Sim,Sim,Sim,Não,baixa
1067,Acre,1200,Sim,Sim,Sim,Sim,média_baixa
1069,Acre,1100,Sim,Sim,Sim,Sim,média_baixa
1070,Acre,1460,Sim,Sim,Não,Não,média_baixa
1072,Acre,2697,Sim,Sim,Sim,Não,média
1074,Acre,1333,Sim,Não,Sim,Sim,média_baixa
1076,Acre,629,Sim,Sim,Sim,Sim,média_baixa
1077,Acre,6000,Sim,Sim,Sim,Sim,alta
1078,Acre,866,Sim,Não,Sim,Sim,média_baixa
1080,Acre,650,Sim,Não,Sim,Sim,média_baixa
