,UF,Renda Salarial(R$),Acesso a internet em Domicílio,Acesso a internet em Microcomputador,Acesso a internet em Celular,Acesso a internet em 3G 4G
93784,São Paulo,4850,Sim,Não,Sim,Sim
93787,São Paulo,1666,Sim,Não,Não,Não
93791,São Paulo,929,Sim,Não,Não,Não
93796,São Paulo,1733,Sim,Não,Não,Não
93805,São Paulo,5050,Sim,Não,Não,Não
93812,São Paulo,788,Sim,Sim,Não,Não
93817,São Paulo,650,Sim,Não,Não,Não
93820,São Paulo,1133,Sim,Não,Não,Não
93821,São Paulo,1300,Sim,Sim,Não,Não
93822,São Paulo,880,Sim,Sim,Não,Não
93823,São Paulo,750,Sim,Não,Não,Não
93824,São Paulo,1450,Sim,Sim,Não,Não
93826,São Paulo,1725,Sim,Sim,Não,Não
93831,São Paulo,1222,Sim,Não,Não,Não
93840,São Paulo,1300,Sim,Não,Não,Não
93850,São Paulo,17,Sim,Sim,Não,Não
93851,São Paulo,366,Sim,Não,Não,Não
93852,São Paulo,788,Sim,Sim,Não,Não
93853,São Paulo,1150,Sim,Não,Não,Não
93854,São Paulo,950,Sim,Não,Sim,Sim
93855,São Paulo,650,Sim,Não,Não,Não
93856,São Paulo,516,Sim,Sim,Não,Não
93857,São Paulo,829,Sim,Não,Não,Não
93858,São Paulo,833,Sim,Sim,Não,Não
93859,São Paulo,500,Sim,Sim,Não,Não
93862,São Paulo,619,Sim,Não,Não,Não
93863,São Paulo,772,Sim,Não,Não,Não
93865,São Paulo,1666,Sim,Não,Não,Não
93866,São Paulo,0,Sim,Não,Não,Não
93870,São Paulo,666,Sim,Não,Não,Não
93873,São Paulo,1000,Sim,Não,Não,Não
93875,São Paulo,1694,Sim,Não,Não,Sim
93877,São Paulo,2133,Sim,Não,Não,Não
93878,São Paulo,2550,Sim,Não,Não,Não
93882,São Paulo,1025,Sim,Não,Não,Não
93883,São Paulo,606,Sim,Sim,Não,Não
93884,São Paulo,729,Sim,Não,Não,Não
93885,São Paulo,575,Sim,Não,Não,Não
93889,São Paulo,160,Sim,Não,Não,Não
93890,São Paulo,329,Sim,Sim,Não,Não
93892,São Paulo,374,Sim,Sim,Não,Não
93894,São Paulo,466,Sim,Sim,Não,Não
93895,São Paulo,833,Sim,Não,Não,Não
93896,São Paulo,788,Sim,Sim,Não,Não
93897,São Paulo,300,Sim,Não,Não,Não
93899,São Paulo,255,Sim,Sim,Não,Não
93905,São Paulo,1225,Sim,Não,Não,Não
93906,São Paulo,733,Sim,Não,Não,Não
93907,São Paulo,800,Sim,Não,Não,Não
93908,São Paulo,3000,Sim,Não,Não,Não
93910,São Paulo,1400,Sim,Sim,Não,Não
93914,São Paulo,125,Sim,Sim,Não,Não
93915,São Paulo,350,Sim,Sim,Não,Não
93921,São Paulo,933,Sim,Não,Não,Sim
93924,São Paulo,1200,Sim,Não,Não,Não
93926,São Paulo,1166,Sim,Não,Não,Não
93927,São Paulo,950,Sim,Não,Não,Não
93928,São Paulo,1050,Sim,Não,Não,Não
93930,São Paulo,2102,Sim,Não,Não,Não
93931,São Paulo,3950,Sim,Não,Sim,Não
93933,São Paulo,1000,Sim,Não,Não,Sim
93934,São Paulo,833,Sim,Não,Não,Não
93935,São Paulo,1160,Sim,Não,Não,Sim
93937,São Paulo,333,Sim,Não,Sim,Sim
93938,São Paulo,1133,Sim,Sim,Não,Não
93939,São Paulo,671,Sim,Não,Não,Não
93941,São Paulo,402,Sim,Não,Não,Não
93942,São Paulo,450,Sim,Sim,Não,Não
93943,São Paulo,877,Sim,Não,Sim,Sim
93947,São Paulo,312,Sim,Sim,Não,Não
93948,São Paulo,925,Sim,Sim,Não,Não
93949,São Paulo,700,Sim,Não,Não,Não
93951,São Paulo,4000,Sim,Não,Não,Não
93952,São Paulo,4050,Sim,Sim,Não,Não
93954,São Paulo,1381,Sim,Sim,Não,Não
93955,São Paulo,6600,Sim,Não,Não,Não
93957,São Paulo,440,Sim,Sim,Não,Sim
93958,São Paulo,434,Sim,Não,Não,Não
93962,São Paulo,632,Sim,Não,Não,Não
93964,São Paulo,728,Sim,Não,Não,Não
93965,São Paulo,616,Sim,Sim,Não,Não
93967,São Paulo,680,Sim,Sim,Não,Não
93969,São Paulo,600,Sim,Sim,Não,Não
93970,São Paulo,302,Sim,Não,Não,Sim
93974,São Paulo,1133,Sim,Não,Não,Sim
93975,São Paulo,3000,Sim,Não,Não,Não
93976,São Paulo,596,Sim,Não,Não,Sim
93977,São Paulo,1143,Sim,Não,Não,Sim
93978,São Paulo,1500,Sim,Sim,Não,Sim
93980,São Paulo,1290,Sim,Sim,Não,Não
93981,São Paulo,1067,Sim,Não,Sim,Sim
93982,São Paulo,1200,Sim,Não,Não,Sim
93983,São Paulo,1337,Sim,Não,Não,Sim
93984,São Paulo,889,Sim,Não,Não,Sim
93985,São Paulo,562,Sim,Não,Sim,Sim
93989,São Paulo,933,Sim,Não,Não,Sim
93990,São Paulo,783,Sim,Não,Não,Sim
93997,São Paulo,500,Sim,Sim,Não,Não
93998,São Paulo,600,Sim,Não,Não,Não
94000,São Paulo,1000,Sim,Não,Não,Não
94003,São Paulo,666,Sim,Sim,Não,Sim
94005,São Paulo,1969,Sim,Não,Não,Não
94007,São Paulo,1050,Sim,Não,Não,Não
94008,São Paulo,1000,Sim,Não,Não,Não
94010,São Paulo,2000,Sim,Não,Sim,Sim
94013,São Paulo,2333,Sim,Não,Não,Sim
94016,São Paulo,2000,Sim,Não,Sim,Sim
94018,São Paulo,529,Sim,Não,Sim,Sim
94019,São Paulo,545,Sim,Não,Não,Não
