,UF,V02322,V0210,V4105,V0232
1716,11,4.0,2.0,1,4.0
1717,11,2.0,2.0,1,2.0
1721,11,2.0,2.0,1,2.0
1722,11,2.0,2.0,1,2.0
1725,11,2.0,2.0,1,2.0
1736,11,2.0,2.0,1,2.0
1741,11,2.0,2.0,1,2.0
1749,11,2.0,4.0,1,2.0
1757,11,2.0,2.0,1,2.0
1774,11,2.0,2.0,1,2.0
1777,11,2.0,2.0,1,2.0
1779,11,2.0,2.0,1,2.0
1781,11,4.0,2.0,1,4.0
1782,11,2.0,2.0,1,2.0
1784,11,2.0,2.0,1,2.0
1788,11,2.0,2.0,1,2.0
1789,11,2.0,2.0,1,2.0
1790,11,2.0,2.0,1,2.0
1794,11,2.0,2.0,1,2.0
1838,11,2.0,2.0,1,2.0
1842,11,2.0,2.0,1,2.0
1847,11,2.0,2.0,1,2.0
1849,11,2.0,2.0,1,2.0
1853,11,2.0,2.0,1,2.0
1861,11,2.0,2.0,1,2.0
1863,11,2.0,2.0,1,2.0
1864,11,2.0,2.0,1,2.0
1872,11,2.0,2.0,1,2.0
1876,11,2.0,2.0,1,2.0
1877,11,2.0,2.0,1,2.0
1878,11,2.0,2.0,1,2.0
1879,11,2.0,2.0,1,2.0
1883,11,4.0,2.0,1,4.0
1884,11,4.0,2.0,1,4.0
1902,11,2.0,2.0,1,2.0
1922,11,4.0,2.0,8,4.0
1935,11,2.0,2.0,8,2.0
1940,11,2.0,2.0,1,2.0
1942,11,2.0,4.0,1,2.0
1950,11,2.0,2.0,1,2.0
1951,11,2.0,2.0,1,2.0
1956,11,2.0,2.0,1,2.0
1957,11,2.0,2.0,1,2.0
1966,11,2.0,2.0,1,2.0
1968,11,2.0,2.0,1,2.0
1974,11,4.0,2.0,1,4.0
1982,11,4.0,2.0,1,4.0
1990,11,2.0,2.0,1,2.0
1994,11,2.0,2.0,1,2.0
1999,11,2.0,2.0,1,2.0
2002,11,2.0,2.0,5,2.0
2003,11,2.0,2.0,5,2.0
2031,11,2.0,2.0,1,2.0
2034,11,2.0,2.0,1,2.0
2036,11,2.0,2.0,1,2.0
2042,11,2.0,2.0,1,2.0
2046,11,2.0,2.0,1,2.0
2051,11,2.0,2.0,1,2.0
2054,11,2.0,2.0,1,2.0
2058,11,2.0,2.0,1,4.0
2059,11,2.0,2.0,1,2.0
2060,11,2.0,2.0,1,2.0
2062,11,2.0,2.0,1,2.0
2063,11,2.0,2.0,1,2.0
2064,11,2.0,2.0,1,2.0
2065,11,2.0,2.0,1,2.0
2067,11,2.0,2.0,1,2.0
2068,11,2.0,2.0,1,2.0
2069,11,2.0,2.0,1,2.0
2072,11,2.0,2.0,1,2.0
2074,11,2.0,2.0,1,2.0
2085,11,2.0,2.0,1,2.0
2087,11,2.0,2.0,1,2.0
2089,11,2.0,2.0,1,2.0
2090,11,2.0,2.0,1,2.0
2095,11,2.0,2.0,1,2.0
2097,11,4.0,2.0,1,4.0
2098,11,2.0,2.0,1,2.0
2102,11,2.0,2.0,2,4.0
2103,11,2.0,2.0,2,4.0
2107,11,2.0,2.0,2,2.0
2109,11,4.0,2.0,2,4.0
2111,11,2.0,2.0,2,2.0
2113,11,2.0,2.0,2,2.0
2114,11,2.0,2.0,2,2.0
2118,11,2.0,2.0,2,2.0
2121,11,2.0,2.0,2,2.0
2123,11,2.0,2.0,2,2.0
2125,11,2.0,2.0,2,2.0
2135,11,2.0,2.0,2,2.0
2136,11,2.0,2.0,2,2.0
2140,11,2.0,2.0,1,2.0
2144,11,2.0,2.0,1,2.0
2145,11,2.0,2.0,1,2.0
2151,11,2.0,2.0,1,2.0
2152,11,2.0,2.0,1,2.0
2154,11,2.0,2.0,1,2.0
2165,11,2.0,2.0,1,2.0
2167,11,2.0,2.0,1,2.0
2168,11,2.0,2.0,1,2.0
2174,11,2.0,2.0,1,2.0
2178,11,2.0,2.0,1,2.0
2182,11,2.0,2.0,1,2.0
2186,11,2.0,2.0,1,2.0
2187,11,2.0,2.0,1,2.0
2191,11,2.0,2.0,1,2.0
2193,11,2.0,2.0,1,2.0
2199,11,4.0,2.0,1,4.0
2200,11,2.0,2.0,1,2.0
2201,11,2.0,2.0,1,2.0
2202,11,4.0,2.0,1,4.0
2203,11,2.0,2.0,1,2.0
2204,11,2.0,2.0,1,2.0
2207,11,2.0,2.0,1,2.0
2208,11,4.0,2.0,1,4.0
2217,11,2.0,2.0,1,2.0
2220,11,2.0,2.0,1,2.0
2223,11,2.0,2.0,1,2.0
2224,11,2.0,2.0,1,2.0
2225,11,2.0,2.0,8,2.0
2229,11,2.0,2.0,8,2.0
2252,11,2.0,2.0,8,2.0
2255,11,4.0,2.0,8,4.0
2270,11,4.0,2.0,8,4.0
2271,11,4.0,2.0,8,4.0
2277,11,2.0,2.0,1,4.0
2280,11,2.0,2.0,1,2.0
2283,11,2.0,2.0,1,2.0
2285,11,2.0,2.0,1,2.0
2289,11,2.0,2.0,1,2.0
2291,11,2.0,2.0,1,2.0
2294,11,2.0,2.0,1,2.0
2295,11,2.0,2.0,1,2.0
2298,11,2.0,2.0,1,2.0
2314,11,2.0,2.0,8,2.0
2330,11,4.0,2.0,8,4.0
2333,11,4.0,2.0,8,4.0
2334,11,4.0,2.0,8,4.0
2335,11,4.0,2.0,8,4.0
2342,11,4.0,2.0,1,4.0
2349,11,4.0,2.0,1,4.0
2350,11,4.0,2.0,1,4.0
2352,11,2.0,2.0,1,2.0
2354,11,2.0,2.0,1,2.0
2357,11,4.0,2.0,1,4.0
2364,11,2.0,2.0,1,2.0
2375,11,2.0,2.0,1,2.0
2386,11,2.0,2.0,1,4.0
2388,11,2.0,2.0,1,2.0
2400,11,4.0,2.0,8,4.0
2438,11,4.0,2.0,8,4.0
2440,11,2.0,2.0,8,2.0
2442,11,2.0,2.0,8,2.0
2444,11,2.0,2.0,8,2.0
2447,11,2.0,2.0,8,2.0
2452,11,2.0,2.0,8,2.0
2463,11,2.0,2.0,8,2.0
2468,11,2.0,2.0,8,2.0
2470,11,2.0,2.0,5,2.0
2474,11,2.0,2.0,5,2.0
2476,11,2.0,2.0,5,2.0
2483,11,2.0,2.0,5,2.0
2486,11,2.0,2.0,5,2.0
2489,11,4.0,2.0,5,4.0
2490,11,2.0,2.0,8,2.0
2506,11,2.0,2.0,8,2.0
2513,11,2.0,4.0,8,2.0
2532,11,2.0,2.0,1,2.0
2553,11,2.0,2.0,8,2.0
2557,11,2.0,2.0,8,2.0
2558,11,2.0,2.0,8,2.0
2579,11,2.0,2.0,8,2.0
2587,11,4.0,2.0,8,4.0
2593,11,2.0,2.0,8,2.0
2599,11,2.0,2.0,1,2.0
2603,11,2.0,2.0,1,2.0
2605,11,2.0,2.0,1,2.0
2607,11,2.0,2.0,1,2.0
2617,11,2.0,2.0,1,2.0
2625,11,2.0,2.0,1,2.0
2627,11,2.0,2.0,1,2.0
2644,11,4.0,2.0,8,4.0
2656,11,4.0,2.0,1,4.0
2659,11,2.0,2.0,1,2.0
2674,11,2.0,2.0,1,2.0
2687,11,2.0,2.0,1,2.0
2690,11,2.0,2.0,1,2.0
2693,11,2.0,2.0,1,2.0
